Series_Title,Released_Year,IMDB_Rating,Meta_score,Director,Star1,No_of_Votes
The Shawshank Redemption,1994,9.3,80,Frank Darabont,Tim Robbins,2343110
The Dark Knight,2008,9,84,Christopher_Nolan,Christian Bale,2303232
Inception,2010,8.8,74,Christopher_Nolan,Leonardo DiCaprio,2067042
Fight Club,1999,8.8,66,David Fincher,Brad Pitt,1854740
Pulp Fiction,1994,8.9,94,Quentin Tarantino,John Travolta,1826188
Forrest Gump,1994,8.8,82,Robert Zemeckis,Tom Hanks,1809221
The Matrix,1999,8.7,73,Lana Wachowski,Lilly Wachowski,1676426
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,92,Peter Jackson,Elijah Wood,1661481
The Lord of the Rings: The Return of the King,2003,8.9,94,Peter Jackson,Elijah Wood,1642758
The Godfather,1972,9.2,100,Francis Ford Coppola,Marlon Brando,1620367
The Dark Knight Rises,2012,8.4,78,Christopher_Nolan,Christian Bale,1516346
Interstellar,2014,8.6,74,Christopher_Nolan,Matthew McConaughey,1512360
The Lord of the Rings: The Two Towers,2002,8.7,87,Peter Jackson,Elijah Wood,1485555
Se7en,1995,8.6,65,David Fincher,Morgan Freeman,1445096
Django Unchained,2012,8.4,81,Quentin Tarantino,Jamie Foxx,1357682
Gladiator,2000,8.5,67,Ridley Scott,Russell Crowe,1341460
Batman Begins,2005,8.2,70,Christopher_Nolan,Christian Bale,1308302
The Silence of the Lambs,1991,8.6,85,Jonathan Demme,Jodie Foster,1270197
Inglourious Basterds,2009,8.3,69,Quentin Tarantino,Brad Pitt,1267869
The Avengers,2012,8,69,Joss Whedon,Robert Downey Jr.,1260806
Saving Private Ryan,1998,8.6,91,Steven Spielberg,Tom Hanks,1235804
Star Wars,1977,8.6,90,George Lucas,Mark Hamill,1231473
Schindler's List,1993,8.9,94,Steven Spielberg,Liam Neeson,1213505
The Prestige,2006,8.5,66,Christopher_Nolan,Christian Bale,1190259
The Departed,2006,8.5,85,Martin Scorsese,Leonardo DiCaprio,1189773
